state,state_name,total_population,non_citizen,naturalized,foreign_born,pct_non_citizen,pct_foreign_born,pct_naturalized,age_18_34,age_35_64,age_65_plus,pct_age_18_34,pct_age_35_64,pct_age_65_plus,race_white,race_black,race_asian,pct_race_white,pct_race_black,pct_race_asian,pct_race_other,below_poverty,at_or_above_poverty,pct_below_poverty,fb_below_poverty,pct_fb_below_poverty,native_below_poverty,pct_native_below_poverty,edu_less_than_hs,edu_high_school,edu_some_college,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_bachelors_plus,pct_edu_less_than_hs,pct_edu_high_school,pct_edu_some_college,pct_edu_bachelors,pct_edu_masters,pct_edu_professional,pct_edu_doctorate,pct_edu_bachelors_plus
01,Alabama,5086768,123399.0,80179.0,203578.0,2.43,4.0,1.58,804654,1584024,1567365,15.82,31.14,30.81,3284260,1311062,74435,64.56,25.77,1.46,8.2,772360,4171992,15.62,14500,8.04,213000,71.94,395315,874785,1218123,600262,279270,59777,46174,985483,11.38,25.18,35.07,17.28,8.04,1.72,1.33,28.37
02,Alaska,735706,21653.0,35092.0,56745.0,2.94,7.71,4.77,122953,246089,189485,16.71,33.45,25.76,438178,22071,47423,59.56,3.0,6.45,31.0,72786,645128,10.14,654,4.6,19386,63.44,31638,115592,187966,97368,41826,9782,6380,155356,6.45,23.56,38.32,19.85,8.53,1.99,1.3,31.67
04,Arizona,7378838,493430.0,464354.0,957784.0,6.69,12.98,6.29,1204455,2299641,2280366,16.32,31.17,30.9,4353879,339563,264019,59.0,4.6,3.58,32.82,901451,6318923,12.48,24907,12.9,230860,67.23,540735,988757,1862843,1035236,476310,106233,78561,1696340,10.63,19.43,36.61,20.34,9.36,2.09,1.54,33.34
05,Arkansas,3049391,108856.0,56884.0,165740.0,3.57,5.44,1.87,479762,948471,916148,15.73,31.1,30.04,2108596,448673,49686,69.15,14.71,1.63,14.51,473903,2489126,15.99,8048,8.01,133492,63.3,232010,581625,715679,334916,142648,30690,21604,529858,11.27,28.25,34.76,16.26,6.93,1.49,1.05,25.73
06,California,39287377,4841377.0,5756924.0,10598301.0,12.32,26.98,14.65,6376120,13375848,10902613,16.23,34.05,27.75,15604753,2134516,6100560,39.72,5.43,15.53,39.32,4632248,33950165,12.01,254467,23.58,1192414,68.08,4136964,4872391,8024800,6133461,2668158,713292,524894,10039805,15.28,18.0,29.64,22.65,9.86,2.63,1.94,37.08
08,Colorado,5862189,301967.0,274686.0,576653.0,5.15,9.84,4.69,982113,2044089,1604460,16.75,34.87,27.37,4133760,237409,192697,70.52,4.05,3.29,22.15,542093,5201123,9.44,16299,16.12,124400,64.49,291720,653678,1278660,1151206,527881,106431,86151,1871669,7.12,15.96,31.22,28.11,12.89,2.6,2.1,45.7
09,Connecticut,3624508,255638.0,313539.0,569177.0,7.05,15.7,8.65,562635,1145428,1184859,15.52,31.6,32.69,2361298,384165,174560,65.15,10.6,4.82,19.44,353604,3176566,10.02,10900,13.69,87486,75.3,216345,565506,687670,595631,355683,82601,51148,1085063,8.47,22.14,26.92,23.32,13.92,3.23,2.0,42.48
10,Delaware,1021191,49993.0,59289.0,109282.0,4.9,10.7,5.81,147756,308777,352986,14.47,30.24,34.57,611821,223830,43748,59.91,21.92,4.28,13.88,103819,893089,10.41,2996,11.5,28968,75.32,60333,182509,221608,147773,81108,14473,15240,258594,8.34,25.24,30.65,20.44,11.22,2.0,2.11,35.76
11,District of Columbia,681294,50710.0,46678.0,97388.0,7.44,14.29,6.85,138092,263288,152600,20.27,38.65,22.4,258050,286997,29748,37.88,42.13,4.37,15.63,101008,553216,15.44,928,3.68,26721,86.61,35895,58639,80271,128179,111874,50720,23341,314114,7.34,11.99,16.42,26.22,22.88,10.37,4.77,64.25
12,Florida,22416077,2088458.0,2817269.0,4905727.0,9.32,21.88,12.57,3174445,7073349,7793453,14.16,31.55,34.77,12529014,3382877,656903,55.89,15.09,2.93,26.09,2759397,19186769,12.57,89902,15.77,656101,69.11,1631195,3741785,5313953,3449900,1454309,405448,231810,5541467,10.05,23.06,32.74,21.26,8.96,2.5,1.43,34.15
13,Georgia,10940407,631256.0,591522.0,1222778.0,5.77,11.18,5.41,1779716,3638037,2981156,16.27,33.25,27.25,5574133,3401114,495388,50.95,31.09,4.53,13.43,1430012,9249679,13.39,42683,12.07,416156,70.0,791570,1618661,2377677,1549944,728284,175617,118068,2571913,10.76,21.99,32.31,21.06,9.9,2.39,1.6,34.95
15,Hawaii,1445235,101550.0,157451.0,259001.0,7.03,17.92,10.89,209069,462312,475245,14.47,31.99,32.88,319370,27320,533801,22.1,1.89,36.94,39.08,141401,1266956,10.04,3040,12.02,31375,65.45,70475,244429,342994,235100,91982,28623,16594,372299,6.84,23.73,33.29,22.82,8.93,2.78,1.61,36.14
16,Idaho,1934262,62301.0,52548.0,114849.0,3.22,5.94,2.72,314252,599364,554463,16.25,30.99,28.67,1579907,14937,26432,81.68,0.77,1.37,16.18,199519,1684638,10.59,3502,10.21,52966,55.2,104109,272034,495573,271938,94587,22371,17573,406469,8.15,21.28,38.77,21.28,7.4,1.75,1.37,31.8
17,Illinois,12694798,892321.0,980128.0,1872449.0,7.03,14.75,7.72,2005666,4138414,3777379,15.8,32.6,29.76,7742980,1723233,762007,60.99,13.57,6.0,19.43,1464937,10940763,11.81,45589,13.46,384807,71.24,835754,1876700,2736401,1981080,979091,215303,142675,3318149,9.53,21.41,31.21,22.6,11.17,2.46,1.63,37.85
18,Indiana,6851073,253803.0,177452.0,431255.0,3.7,6.29,2.59,1108909,2141459,2006284,16.19,31.26,29.28,5283839,630831,180134,77.12,9.21,2.63,11.04,821528,5836997,12.34,17518,9.33,230624,67.78,442501,1253851,1545013,860045,362619,73544,58431,1354639,9.63,27.28,33.62,18.71,7.89,1.6,1.27,29.47
19,Iowa,3210507,106474.0,83514.0,189988.0,3.32,5.92,2.6,521094,968399,985999,16.23,30.16,30.71,2701598,124520,79943,84.15,3.88,2.49,9.48,344519,2766078,11.08,8900,12.4,86957,67.48,145298,560779,771164,450118,159664,36388,30738,676908,6.75,26.03,35.8,20.9,7.41,1.69,1.43,31.42
20,Kansas,2947197,123613.0,93204.0,216817.0,4.19,7.36,3.16,490370,898580,858018,16.64,30.49,29.11,2240383,156891,86924,76.02,5.32,2.95,15.71,322842,2538288,11.28,6483,9.91,82970,65.26,156707,416033,680857,431471,194296,38359,28955,693081,8.05,21.37,34.98,22.16,9.98,1.97,1.49,35.6
21,Kentucky,4534824,126070.0,85140.0,211210.0,2.78,4.66,1.88,705887,1428961,1375000,15.57,31.51,30.32,3745354,346828,73255,82.59,7.65,1.62,8.15,708321,3701353,16.06,10249,7.69,180369,62.6,344937,815376,1084654,502089,253530,61477,36695,853791,11.13,26.31,35.0,16.2,8.18,1.98,1.18,27.55
22,Louisiana,4611961,133968.0,90569.0,224537.0,2.9,4.87,1.96,716784,1459385,1352942,15.54,31.64,29.34,2625852,1417851,80052,56.94,30.74,1.74,10.59,848967,3636739,18.93,8972,4.2,248927,74.99,395744,839101,1032209,527354,216017,59524,37487,840382,12.74,27.0,33.22,16.97,6.95,1.92,1.21,27.04
23,Maine,1387817,26934.0,29514.0,56448.0,1.94,4.07,2.13,190657,426133,520487,13.74,30.71,37.5,1255888,25427,16006,90.49,1.83,1.15,6.52,144830,1202697,10.75,877,3.79,29811,67.36,53812,259316,341726,230761,98926,24191,17518,371396,5.24,25.27,33.3,22.49,9.64,2.36,1.71,36.19
24,Maryland,6206011,468006.0,562664.0,1030670.0,7.54,16.61,9.07,917002,2051240,1861269,14.78,33.05,29.99,2988904,1822132,408580,48.16,29.36,6.58,15.89,574017,5500959,9.45,22394,17.45,143266,71.44,380692,882667,1169200,975248,627710,137366,128452,1868776,8.85,20.52,27.18,22.67,14.59,3.19,2.99,43.45
25,Massachusetts,7044056,587699.0,683507.0,1271206.0,8.34,18.05,9.7,1181635,2284102,2214138,16.77,32.43,31.43,4835274,481930,514481,68.64,6.84,7.3,17.21,684548,6134524,10.04,19533,14.38,147496,75.96,430629,985094,1213632,1271684,759196,159285,167782,2357947,8.63,19.75,24.33,25.5,15.22,3.19,3.36,47.28
26,Michigan,10077761,316383.0,412498.0,728881.0,3.14,7.23,4.09,1585092,3108174,3244011,15.73,30.84,32.19,7431505,1337239,345417,73.74,13.27,3.43,9.56,1303527,8565987,13.21,35296,12.57,345843,66.58,555811,1682877,2495847,1382352,658779,137202,95639,2273972,7.93,24.01,35.61,19.72,9.4,1.96,1.36,32.45
