state_name,state_fips,total_population,non_citizen,naturalized,foreign_born,pct_non_citizen,pct_foreign_born,pct_naturalized,non_citizen_per_100k,foreign_born_per_100k,rank_by_non_citizen_count,rank_by_pct_non_citizen,rank_by_foreign_born_count
California,06,39287377,4841377.0,5756924.0,10598301.0,12.32,26.98,14.65,12323.0,26976.4,1,1,1
Texas,48,30188424,3080983.0,2221483.0,5302466.0,10.21,17.56,7.36,10205.8,17564.6,2,3,2
Florida,12,22416077,2088458.0,2817269.0,4905727.0,9.32,21.88,12.57,9316.8,21884.9,3,4,3
New York,36,19852366,1832210.0,2693804.0,4526014.0,9.23,22.8,13.57,9229.2,22798.4,4,5,4
New Jersey,34,9343809,978810.0,1257744.0,2236554.0,10.48,23.94,13.46,10475.5,23936.2,5,2,5
Illinois,17,12694798,892321.0,980128.0,1872449.0,7.03,14.75,7.72,7029.0,14749.7,6,12,6
Georgia,13,10940407,631256.0,591522.0,1222778.0,5.77,11.18,5.41,5769.9,11176.7,7,16,8
Washington,53,7816116,619052.0,587791.0,1206843.0,7.92,15.44,7.52,7920.2,15440.4,8,8,9
Massachusetts,25,7044056,587699.0,683507.0,1271206.0,8.34,18.05,9.7,8343.2,18046.5,9,7,7
North Carolina,37,10730404,560360.0,412965.0,973325.0,5.22,9.07,3.85,5222.2,9070.7,10,19,13
Virginia,51,8705170,495696.0,647130.0,1142826.0,5.69,13.13,7.43,5694.3,13128.1,11,17,10
Arizona,04,7378838,493430.0,464354.0,957784.0,6.69,12.98,6.29,6687.1,12980.1,12,15,14
Maryland,24,6206011,468006.0,562664.0,1030670.0,7.54,16.61,9.07,7541.2,16607.6,13,9,11
Pennsylvania,42,13018639,448580.0,556395.0,1004975.0,3.45,7.72,4.27,3445.7,7719.5,14,31,12
Michigan,26,10077761,316383.0,412498.0,728881.0,3.14,7.23,4.09,3139.4,7232.6,15,35,15
Colorado,08,5862189,301967.0,274686.0,576653.0,5.15,9.84,4.69,5151.1,9836.8,16,20,18
Ohio,39,11810293,289669.0,326433.0,616102.0,2.45,5.22,2.76,2452.7,5216.7,17,41,16
Nevada,32,3184612,284442.0,324624.0,609066.0,8.93,19.13,10.19,8931.8,19125.3,18,6,17
Tennessee,47,7066383,262532.0,169013.0,431545.0,3.72,6.11,2.39,3715.2,6107.0,19,27,21
Connecticut,09,3624508,255638.0,313539.0,569177.0,7.05,15.7,8.65,7053.0,15703.6,20,11,19
Indiana,18,6851073,253803.0,177452.0,431255.0,3.7,6.29,2.59,3704.6,6294.7,21,28,22
Oregon,41,4254293,210801.0,207566.0,418367.0,4.96,9.83,4.88,4955.0,9834.0,22,22,23
Minnesota,27,5739445,204576.0,293146.0,497722.0,3.56,8.67,5.11,3564.4,8672.0,23,30,20
Utah,49,3392331,174701.0,127851.0,302552.0,5.15,8.92,3.77,5149.9,8918.7,24,20,26
South Carolina,45,5296225,167986.0,137115.0,305101.0,3.17,5.76,2.59,3171.8,5760.7,25,34,25
Wisconsin,55,5914872,160447.0,146532.0,306979.0,2.71,5.19,2.48,2712.6,5190.0,26,40,24
Oklahoma,40,4028634,152741.0,103474.0,256215.0,3.79,6.36,2.57,3791.4,6359.8,27,26,29
Missouri,29,6191814,137182.0,140785.0,277967.0,2.22,4.49,2.27,2215.5,4489.3,28,45,27
Louisiana,22,4611961,133968.0,90569.0,224537.0,2.9,4.87,1.96,2904.8,4868.6,29,37,30
Kentucky,21,4534824,126070.0,85140.0,211210.0,2.78,4.66,1.88,2780.0,4657.5,30,38,32
Kansas,20,2947197,123613.0,93204.0,216817.0,4.19,7.36,3.16,4194.3,7356.7,31,25,31
Alabama,01,5086768,123399.0,80179.0,203578.0,2.43,4.0,1.58,2425.9,4002.1,32,42,33
New Mexico,35,2120246,112938.0,86800.0,199738.0,5.33,9.42,4.09,5326.6,9420.5,33,18,34
Arkansas,05,3049391,108856.0,56884.0,165740.0,3.57,5.44,1.87,3569.8,5435.2,34,29,37
Iowa,19,3210507,106474.0,83514.0,189988.0,3.32,5.92,2.6,3316.4,5917.7,35,32,35
Hawaii,15,1445235,101550.0,157451.0,259001.0,7.03,17.92,10.89,7026.5,17921.0,36,12,28
Nebraska,31,1978707,91773.0,67311.0,159084.0,4.64,8.04,3.4,4638.0,8039.8,37,24,38
Rhode Island,44,1101801,77113.0,91389.0,168502.0,7.0,15.29,8.29,6998.8,15293.3,38,14,36
Idaho,16,1934262,62301.0,52548.0,114849.0,3.22,5.94,2.72,3220.9,5937.6,39,33,39
District of Columbia,11,681294,50710.0,46678.0,97388.0,7.44,14.29,6.85,7443.2,14294.6,40,10,41
Delaware,10,1021191,49993.0,59289.0,109282.0,4.9,10.7,5.81,4895.6,10701.4,41,23,40
Mississippi,28,2946779,42670.0,29248.0,71918.0,1.45,2.44,0.99,1448.0,2440.6,42,49,43
New Hampshire,33,1394868,33518.0,52114.0,85632.0,2.4,6.14,3.74,2403.0,6139.1,43,43,42
Maine,23,1387817,26934.0,29514.0,56448.0,1.94,4.07,2.13,1940.7,4067.4,44,47,45
North Dakota,38,784841,21668.0,15294.0,36962.0,2.76,4.71,1.95,2760.8,4709.5,45,39,46
Alaska,02,735706,21653.0,35092.0,56745.0,2.94,7.71,4.77,2943.2,7713.0,46,36,44
South Dakota,46,907428,20496.0,15492.0,35988.0,2.26,3.97,1.71,2258.7,3965.9,47,44,47
West Virginia,54,1778373,14690.0,17639.0,32329.0,0.83,1.82,0.99,826.0,1817.9,48,51,48
Montana,30,1116875,11901.0,13778.0,25679.0,1.07,2.3,1.23,1065.6,2299.2,49,50,50
Wyoming,56,582397,11332.0,9162.0,20494.0,1.95,3.52,1.57,1945.8,3518.9,50,46,51
Vermont,50,647106,9946.0,17723.0,27669.0,1.54,4.28,2.74,1537.0,4275.8,51,48,49
